cod,nome,lon,lat,tipo,area_km2
77016,BORJA A.J. QUIJOS,-77.8333,-0.3833,pluviometrica,
77017,EL PLAYON DE SAN FRANCISCO,-77.6167,-0.6,pluviometrica,
77018,JONDACHI,-77.8167,-0.7,pluviometrica,
77019,RIO SALADO INECEL,-77.7,-0.2,pluviometrica,
77020,SAN MARCOS,-77.9603,-0.105,pluviometrica,
77021,EL CARMELO,-77.5994,-0.6611,pluviometrica,
77022,PUERTO LIBRE,-77.5,-0.3333,pluviometrica,
77023,LA BONITA,-77.5,-0.1669,pluviometrica,
77024,CHONTA PUNTA,-77.35,-0.9333,pluviometrica,
77025,LUMBAQUI,-77.3339,-0.0386,pluviometrica,
78002,EL REFUGIO - COTOPAXI,-78.55,-0.7,pluviometrica,
78004,LATACUNGA AEROPUERTO,-78.6167,-0.9167,pluviometrica,
78007,CUYUJA,-78.05,-0.0833,pluviometrica,
78008,IBARRA - ATAHUALPA,-78.1333,-0.35,pluviometrica,
78009,MARISCAL SUCRE INAMHI,-78.4958,-0.6403,pluviometrica,
78010,MULALO,-78.5722,-0.7764,pluviometrica,
78011,PUJILI (4 ESQUINAS),-78.7078,-0.9533,pluviometrica,
78012,GUAYTACAMA,-78.6403,-0.8206,pluviometrica,
78013,PASTOCALLE,-78.6325,-0.725,pluviometrica,
78014,POALO,-78.6667,-0.8833,pluviometrica,
78015,TOACAZO,-78.6833,-0.75,pluviometrica,
78016,SAQUISILI,-78.6644,-0.8378,pluviometrica,
78017,PAPALLACTA,-78.1447,-0.365,pluviometrica,
78018,CHALUPAS,-78.2789,-0.8378,pluviometrica,
79001,ESMERALDA-TACHINA  (DAC),-79.6244,-0.9792,pluviometrica,
144001,ILHA SÃO JOÃO DO FAROL,-44.8833,-1.3,pluviometrica,
239001,ITAREMA,-39.9167,-2.9167,pluviometrica,
240000,CAMOCIM,-40.8333,-2.9,pluviometrica,
240001,ACARAÚ,-40.1167,-2.8833,pluviometrica,
240002,CAMOCIM,-40.8333,-2.9167,pluviometrica,
240007,ACARAÚ,-40.1167,-2.8833,pluviometrica,
240009,ARANAÚ,-40.2167,-2.8167,pluviometrica,
240010,PRATA,-40.2667,-2.9333,pluviometrica,
240011,JATOBÁ,-40.9333,-2.9667,pluviometrica,
240012,CRUZ,-40.1833,-2.9333,pluviometrica,
240013,JIJOCA DE JERICOACOARA,-40.4833,-2.9167,pluviometrica,
240014,JERICOACOARA,-40.5167,-2.7833,pluviometrica,
240015,PESQUEIRO,-40.5703,-2.9967,pluviometrica,
240016,SITIO PITOMBEIRAS DE CRUZ,-40.1731,-2.8861,pluviometrica,
241000,LUIZ CORREIA,-41.6667,-2.8833,pluviometrica,
241001,PARNAÍBA,-41.7833,-2.9167,pluviometrica,
439081,SÍTIO FERNANDES,-39.0692,-4.4053,pluviometrica,
439082,SALGADINHO,-39.5458,-4.8069,pluviometrica,
439083,AÇUDE PIRABIBU,-39.3644,-4.9808,pluviometrica,
439084,JUREMA,-39.4572,-4.1686,pluviometrica,
439085,ASSENTAMENTO PAPEL,-39.5614,-4.1967,pluviometrica,
439086,BAIXA FRIA,-39.3789,-4.5269,pluviometrica,
439087,SACO DO BELÉM,-39.795,-4.4297,pluviometrica,
439088,SABONETE,-39.517,-4.7597,pluviometrica,
439089,INB ITATAIA,-39.7964,-4.5752,pluviometrica,
439090,LAGOA DO PORCO,-39.6934,-4.7729,pluviometrica,
440000,RERIUTABA,-40.5833,-4.15,pluviometrica,
440002,HIDROLÂNDIA,-40.4,-4.4167,pluviometrica,
440003,CURATIS,-40.2667,-4.9833,pluviometrica,
440004,CARNAUBAL,-40.95,-4.1667,pluviometrica,
440005,CROATÁ,-40.9042,-4.4164,pluviometrica,
440006,MACARAU,-40.4333,-4.1,pluviometrica,
440007,TAMBORIL,-40.3333,-4.8333,pluviometrica,
440009,CATUNDA,-40.2,-4.6667,pluviometrica,
440010,IPUEIRAS,-40.7167,-4.5667,pluviometrica,
440011,ESPÍRITO SANTO,-40.0333,-4.9167,pluviometrica,
537069,APODI_Sítio Jatoba,-37.8161,-5.655,pluviometrica,
537070,MOSSORÓ_Rua Candido Barros,-37.3689,-5.1969,pluviometrica,
537071,MOSSORÓ_Rua Nilo Peçanha,-37.34,-5.1869,pluviometrica,
537072,MOSSORÓ_Rua Marinho Dantas,-37.3619,-5.2111,pluviometrica,
537073,MOSSORÓ_Rua Margarida Militão,-37.3189,-5.2281,pluviometrica,
537074,MOSSORÓ_Marechal Floriano,-37.3311,-5.1781,pluviometrica,
537075,MOSSORÓ_Rua Desembargador José Vieira,-37.3569,-5.165,pluviometrica,
537076,MOSSORÓ_Rua Henrique Maciel,-37.3581,-5.1511,pluviometrica,
537077,QUIXERÉ,-37.9872,-5.0694,pluviometrica,
144002,CURURUPU,-44.8678,-1.8261,pluviometrica,
145004,TURIAÇU,-45.3683,-1.6678,pluviometrica,
145006,CÂNDIDO MENDES,-45.7281,-1.4558,pluviometrica,
145007,APICUM-AÇU_Hospital Sebastiano Fonseca Costa,-45.0797,-1.5397,pluviometrica,
145008,BACURI_Prefeitura Municipal,-45.1448,-1.7303,pluviometrica,
146000,TRACUATEUA,-46.8653,-1.0636,pluviometrica,
146005,TARARUA - PONTE,-46.5989,-1.7331,pluviometrica,
146007,BRAGANÇA,-46.7828,-1.0453,pluviometrica,
146008,ALTO BONITO,-46.3439,-1.8175,pluviometrica,
146009,VISEU,-46.1878,-1.2314,pluviometrica,
146010,EMBORAI,-46.5836,-1.2917,pluviometrica,
146011,SANTA LUZIA DO PARÁ,-46.9061,-1.5161,pluviometrica,
146012,JAPIIM,-46.6967,-1.7989,pluviometrica,
146013,NOVA MOCAJUBA,-46.8894,-1.2728,pluviometrica,
146014,BOA VISTA DO GURUPI_Hosp. Maria Lenilde dos Anjos,-46.3082,-1.7887,pluviometrica,
147002,CAPANEMA,-47.1781,-1.2036,pluviometrica,
147007,CASTANHAL,-47.9394,-1.2975,pluviometrica,
147008,SÃO DOMINGOS DO CAPIM,-47.77,-1.6775,pluviometrica,
147009,CAPITÃO POÇO,-47.0833,-1.75,pluviometrica,
147010,IGARAPÉ-AÇU,-47.6283,-1.1325,pluviometrica,
147011,COLÔNIA SANTO ANTÔNIO,-47.4914,-1.655,pluviometrica,
147013,CAPITÃO POÇO,-47.0667,-1.7667,pluviometrica,
147014,ESCOLA AGROTÉCNICA,-47.9167,-1.2833,pluviometrica,
147015,VILA SANTA LUZIA,-47.0667,-1.7667,pluviometrica,
147016,OUREM,-47.1172,-1.5517,pluviometrica,
147017,TERRA ALTA,-47.9133,-1.0386,pluviometrica,
147018,SANTA MARIA DO PARÁ,-47.5742,-1.3569,pluviometrica,
147019,NOVA TIMBOTEUA,-47.3864,-1.2111,pluviometrica,
147021,IRITUIA_Centro,-47.437,-1.771,pluviometrica,
147022,IRITUIA_Unidade de Saúde da Família KM14,-47.5023,-1.7439,pluviometrica,
148001,BELÉM,-48.5,-1.45,pluviometrica,
148002,BELÉM,-48.4372,-1.4358,pluviometrica,
148003,SANTA ISABEL DO PARÁ,-48.1708,-1.2964,pluviometrica,
148004,BELÉM (VAL DE CÃES - SBBE),-48.4667,-1.3833,pluviometrica,
148006,SANTANA DO ARARI,-48.7667,-1.2,pluviometrica,
148008,PONTA DE PEDRAS,-48.7833,-1.35,pluviometrica,
148009,ACARÁ,-48.2064,-1.9611,pluviometrica,
148010,ABAETETUBA,-48.8669,-1.7503,pluviometrica,
148011,VILA DO CONDE,-48.7669,-1.5656,pluviometrica,
148012,MOSQUEIRO,-48.3986,-1.0942,pluviometrica,
148013,CPATU,-48.45,-1.4667,pluviometrica,
148014,UFPA,-48.4531,-1.4747,pluviometrica,
148017,BUJARU,-48.0461,-1.5211,pluviometrica,
148018,IGARAPÉ-MIRI,-48.9339,-1.9706,pluviometrica,
148022,BELÉM_Ilha do Mosqueiro,-48.3789,-1.0669,pluviometrica,
149000,MUANÁ,-49.2167,-1.5,pluviometrica,
149001,CURRALINHO,-49.8167,-1.8167,pluviometrica,
149003,OEIRAS DO PARÁ,-49.8636,-2.0019,pluviometrica,
149004,JOANA COELI,-49.3817,-1.8975,pluviometrica,
149005,SÃO SEBASTIÃO DA BOA VISTA,-49.5167,-1.7167,pluviometrica,
149006,MUANÁ,-49.2322,-1.5364,pluviometrica,
150001,BREVES,-50.4781,-1.68,pluviometrica,
150003,ANTÔNIO LEMOS,-50.4347,-1.7917,pluviometrica,
151000,JARILÂNDIA,-51.9964,-1.1233,pluviometrica,
151001,ACAMPAMENTO IBDF,-51.4344,-1.7922,pluviometrica,
151002,AREIAS,-51.2622,-1.2131,pluviometrica,
